OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts	description 	cog
OG0005220	288	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005221	144	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005248	1461	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005255	342	0	1	1	1	1	3.09	3.09	22	22	22	22	Catalyzes quinol oxidation with the concomitant reduction of oxygen to water. Subunit II transfers the electrons from a quinol to the binuclear center of the catalytic subunit I	C
OG0005268	519	0	1	1	1	1	3.09	3.09	22	22	22	22	LlaJI restriction endonuclease	S
OG0005272	153	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005286	117	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005308	327	0	1	1	1	1	3.09	3.09	22	22	22	22	"Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)"	J
OG0005314	138	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005322	129	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005330	396	0	1	1	1	1	3.09	3.09	22	22	22	22	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner	J
OG0005447	498	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005453	312	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005454	171	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005457	108	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005464	156	0	1	1	1	1	3.09	3.09	22	22	22	22	NAD binding	CH
OG0005580	240	0	1	1	1	1	3.09	3.09	22	22	22	22	"CRISPR-associated RAMP protein, Csm4 family"	L
OG0005591	303	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005594	1032	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0005610	1389	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005611	555	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005614	108	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005619	342	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005660	291	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005675	1896	0	1	1	1	1	3.09	3.09	22	22	22	22	N-6 DNA Methylase	V
OG0005677	195	0	1	1	1	1	3.09	3.09	22	22	22	22	"Zn-dependent alcohol dehydrogenases, class III"	C
OG0005680	96	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005789	771	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005791	351	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005805	837	0	1	1	1	1	3.09	3.09	22	22	22	22	Viral (Superfamily 1) RNA helicase	L
OG0005815	282	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005816	207	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0005819	189	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005837	171	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005879	1185	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005926	180	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005935	399	0	1	1	1	1	3.09	3.09	22	22	22	22	Ion transport protein	S
OG0005963	243	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005984	1332	0	1	1	1	1	3.09	3.09	22	22	22	22	Sodium:neurotransmitter symporter family	S
OG0005990	507	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0005991	1014	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006000	678	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006002	813	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006005	738	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006006	714	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006017	165	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006018	267	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006030	141	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006032	192	0	1	1	1	1	3.09	3.09	22	22	22	22	ethanolamine utilization protein	E
OG0006038	204	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006039	198	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006043	153	0	1	1	1	1	3.09	3.09	22	22	22	22	Citrate transporter	EG
OG0006074	342	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006116	243	0	1	1	1	1	3.09	3.09	22	22	22	22	Malate/L-lactate dehydrogenase	C
OG0006164	366	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006166	168	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006181	222	0	1	1	1	1	3.09	3.09	22	22	22	22	Trehalose utilisation	G
OG0006191	462	0	1	1	1	1	3.09	3.09	22	22	22	22	"ABC transporter, ATP-binding protein"	V
OG0006219	186	0	1	1	1	1	3.09	3.09	22	22	22	22	"Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Also phosphorylates dephosphorylates the HPr-like catabolite repression protein crh on a specific serine residue. Therefore, by controlling the phosphorylation state of HPr and crh, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion"	T
OG0006251	240	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006252	390	0	1	1	1	1	3.09	3.09	22	22	22	22	Mnh complex is a Na( ) H( ) antiporter involved in Na( ) excretion	CP
OG0006294	237	0	1	1	1	1	3.09	3.09	22	22	22	22	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second"	C
OG0006396	105	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006397	177	0	1	1	1	1	3.09	3.09	22	22	22	22	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine	O
OG0006413	210	0	1	1	1	1	3.09	3.09	22	22	22	22	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)	E
OG0006636	504	0	1	1	1	1	3.09	3.09	22	22	22	22	sex pheromone	S
OG0006652	228	0	1	1	1	1	3.09	3.09	22	22	22	22	Modulates transcription in response to changes in cellular NADH NAD( ) redox state	K
OG0006653	225	0	1	1	1	1	3.09	3.09	22	22	22	22	"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction"	J
OG0006720	423	0	1	1	1	1	3.09	3.09	22	22	22	22	Belongs to the metallo-dependent hydrolases superfamily. HutI family	Q
OG0006721	309	0	1	1	1	1	3.09	3.09	22	22	22	22	Imidazolone-5-propionate hydrolase	Q
OG0006723	162	0	1	1	1	1	3.09	3.09	22	22	22	22	Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate	E
OG0006724	303	0	1	1	1	1	3.09	3.09	22	22	22	22	Catalyzes the conversion of N-formimidoyl-L-glutamate to L-glutamate and formamide	E
OG0006742	189	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006752	156	0	1	1	1	1	3.09	3.09	22	22	22	22	COG1363 Cellulase M and related proteins	G
OG0006763	147	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006787	132	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006790	273	0	1	1	1	1	3.09	3.09	22	22	22	22	Domain of unknown function (DUF2088)	S
OG0006798	114	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006799	357	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006806	123	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006811	702	0	1	1	1	1	3.09	3.09	22	22	22	22	Protein of unknown function (DUF3800)	L
OG0006812	441	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0006813	882	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0006827	603	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0006836	105	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006839	99	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006842	294	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006845	156	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006846	1542	0	1	1	1	1	3.09	3.09	22	22	22	22	Tetratricopeptide repeat	S
OG0006864	174	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006866	612	0	1	1	1	1	3.09	3.09	22	22	22	22	Protease prsW family	S
OG0006872	120	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006876	417	0	1	1	1	1	3.09	3.09	22	22	22	22	Recombinase	S
OG0006877	498	0	1	1	1	1	3.09	3.09	22	22	22	22	"COG1961 Site-specific recombinases, DNA invertase Pin homologs"	L
OG0006908	192	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0006909	186	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006937	90	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006938	384	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006939	90	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0006992	312	0	1	1	1	1	3.09	3.09	22	22	22	22	membrane transporter protein	S
OG0006993	960	0	1	1	1	1	3.09	3.09	22	22	22	22	Sulfatase-modifying factor enzyme 1	S
OG0007000	195	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007065	180	0	1	1	1	1	3.09	3.09	22	22	22	22	COG0457 FOG TPR repeat	G
OG0007066	354	0	1	1	1	1	3.09	3.09	22	22	22	22	Glycerol-3-phosphate dehydrogenase	I
OG0007102	1191	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007108	402	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007109	213	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007148	171	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007156	1566	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0007163	1470	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007164	1098	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007167	174	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007168	603	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007179	450	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007180	837	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007187	99	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007196	162	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007202	222	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007221	369	0	1	1	1	1	3.09	3.09	22	22	22	22	Exonuclease	L
OG0007230	939	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0007232	90	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007275	1173	0	1	1	1	1	3.09	3.09	22	22	22	22	Cupin	G
OG0007276	1296	0	1	1	1	1	3.09	3.09	22	22	22	22	Permease family	F
OG0007287	111	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007291	159	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007298	174	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007301	117	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007305	102	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007345	387	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007347	216	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007358	333	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007381	213	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007385	225	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007403	171	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007430	5565	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007445	522	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007449	528	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007459	231	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007483	174	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007552	93	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007559	195	0	1	1	1	1	3.09	3.09	22	22	22	22	COG0079 Histidinol-phosphate aromatic aminotransferase and cobyric acid decarboxylase	E
OG0007560	150	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007569	159	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007573	165	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007578	165	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007582	177	0	1	1	1	1	3.09	3.09	22	22	22	22	Iron-storage protein	P
OG0007588	354	0	1	1	1	1	3.09	3.09	22	22	22	22	aldo keto reductase	C
OG0007597	222	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007613	168	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007620	228	0	1	1	1	1	3.09	3.09	22	22	22	22	Belongs to the nlpA lipoprotein family	P
OG0007622	204	0	1	1	1	1	3.09	3.09	22	22	22	22	Belongs to the UPF0753 family	P
OG0007626	129	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007633	279	0	1	1	1	1	3.09	3.09	22	22	22	22	acetyltransferase	K
OG0007634	420	0	1	1	1	1	3.09	3.09	22	22	22	22	inositol 2-dehydrogenase activity	S
OG0007635	459	0	1	1	1	1	3.09	3.09	22	22	22	22	inositol 2-dehydrogenase activity	S
OG0007637	585	0	1	1	1	1	3.09	3.09	22	22	22	22	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	O
OG0007641	117	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007661	111	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007684	156	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007767	363	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007769	207	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007848	1182	0	1	1	1	1	3.09	3.09	22	22	22	22	COG1960 Acyl-CoA dehydrogenases	I
OG0007861	93	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007873	741	0	1	1	1	1	3.09	3.09	22	22	22	22	Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates	S
OG0007874	912	0	1	1	1	1	3.09	3.09	22	22	22	22	-	-
OG0007886	303	0	1	1	1	1	3.09	3.09	22	22	22	22	"Part of the bacABCDEF operon responsible for the biosynthesis of the nonribosomally synthesized dipeptide antibiotic bacilysin, composed of L-alanine and L-anticapsin. Bacilysin is an irreversible inactivator of the glutaminase domain of glucosamine synthetase. BacB catalyzes the allylic isomerization of the"	S
OG0007894	117	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007908	162	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007918	270	1	1	1	1	NA	3.09	NA	22	0	22	22	#N/A	#N/A
OG0007919	759	1	1	1	1	NA	3.09	NA	22	0	22	22	#N/A	#N/A
OG0007931	2148	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007939	459	0	1	1	1	1	3.09	3.09	22	22	22	22	COG3385 FOG Transposase and inactivated derivatives	L
OG0007944	480	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0007948	174	0	1	1	1	1	3.09	3.09	22	22	22	22	Catalyzes the phosphorylation of the hydroxyl group of 4-methyl-5-beta-hydroxyethylthiazole (THZ)	H
OG0007952	255	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008013	303	0	1	1	1	1	3.09	3.09	22	22	22	22	"An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism"	S
OG0008018	102	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008046	111	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008052	162	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008056	780	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008058	303	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008059	138	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008060	132	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008064	99	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008072	180	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008086	231	1	1	1	1	NA	3.09	NA	22	0	22	22	#N/A	#N/A
OG0008116	108	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008142	162	0	1	1	1	1	3.09	3.09	22	22	22	22	Ketosteroid isomerase-related protein	S
OG0008153	192	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008200	99	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008207	636	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008218	747	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008225	411	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0008236	186	0	1	1	1	1	3.09	3.09	22	22	22	22	#N/A	#N/A
OG0000373	1287	0.04	77	81	0.29	0.29	3.1	3.09	58	57	16.78	16.78	"Peptidase, M16"	S
OG0000455	399	0.04	77	80	0.43	0.44	3.1	3.09	43	42	18.52	18.52	Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc)	J
OG0000551	2532	0.05	77	79	0.33	0.34	3.1	3.09	52	50	17.18	17.18	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane"	U
OG0000776	330	0.24	77	78	0.29	0.35	3.1	3.06	56	46	16.21	16.21	Cyclic-di-AMP receptor	S
OG0000952	1410	0.03	77	77	0.3	0.3	3.1	3.11	60	60	17.75	17.75	Dipeptidase	E
OG0000954	645	0.04	77	77	0.31	0.31	3.1	3.1	58	58	18.14	18.14	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA	J
OG0000987	1263	0	77	77	0.47	0.47	3.1	3.1	42	42	19.86	19.86	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP	O
OG0001087	318	0.01	77	77	0.43	0.43	3.1	3.1	46	46	19.96	19.96	MazG nucleotide pyrophosphohydrolase	S
OG0001089	1203	0.01	77	77	0.38	0.38	3.1	3.1	51	51	19.27	19.27	"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate"	J
OG0001121	2403	0.06	77	77	0.26	0.26	3.1	3.11	58	58	14.86	14.86	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule	L
OG0001437	603	0.01	76	76	0.45	0.45	3.1	3.11	45	45	20.09	20.09	Protein of unknown function (DUF1405)	S
OG0002372	969	0.05	19	19	0.54	0.54	3.1	3.1	34	34	18.37	18.37	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis	IM
OG0002781	297	0	7	11	0.67	0.67	3.1	3.1	25	25	16.64	16.64	-	-
OG0002796	94.5	0.1	10	10	0.63	0.65	3.1	3.09	27	26	17	17	#N/A	#N/A
OG0003942	750	0	3	3	0.67	0.67	3.1	3.1	25	25	16.67	16.67	#N/A	#N/A
OG0004299	163.5	0	2	2	0.89	0.89	3.1	3.1	23	23	20.5	20.5	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	M
OG0004442	378	0.5	2	2	0.87	0.95	3.1	3.04	23	21	20	20	#N/A	#N/A
OG0000353	1707	0.23	77	82	0.16	0.18	3.11	3.1	72	64	11.39	11.39	"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity"	L
OG0000415	1323	0.03	77	80	0.27	0.28	3.11	3.09	63	60	16.79	16.79	gas vesicle protein	S
OG0000454	501	0.05	77	80	0.45	0.48	3.11	3.09	42	40	19.01	19.01	"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors"	J
OG0000477	1770	0.23	77	79	0.27	0.29	3.11	3.13	60	56	16.35	16.35	acetolactate synthase	H
OG0000489	1314	0.03	77	79	0.31	0.31	3.11	3.11	57	56	17.48	17.48	Belongs to the MurCDEF family	M
OG0000490	495	0.01	77	79	0.32	0.32	3.11	3.11	53	53	16.89	16.89	protein containing a divergent version of the methyl-accepting chemotaxis-like domain	S
OG0000612	1149	0.24	77	78	0.37	0.39	3.11	3.13	48	46	17.78	17.78	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	E
OG0000764	1008	0.27	77	78	0.21	0.22	3.11	3.14	71	69	14.9	14.9	Catalyzes the specific phosphorylation of arginine residues in proteins	E
OG0000777	618	0.24	77	78	0.29	0.34	3.11	3.08	55	47	16.14	16.14	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis	F
OG0001028	624	0.01	77	77	0.4	0.4	3.11	3.11	48	48	19.3	19.3	"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ"	O
OG0001074	660	0.03	77	77	0.38	0.39	3.11	3.11	50	49	19	19	Belongs to the cytidylate kinase family. Type 1 subfamily	F
OG0001083	1299	0.01	77	77	0.45	0.45	3.11	3.11	45	45	20.16	20.16	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	E
OG0001088	1134	0.01	77	77	0.41	0.41	3.11	3.11	48	48	19.88	19.88	Glycosyl transferase 4-like	M
OG0001090	972	0.03	77	77	0.41	0.41	3.11	3.11	48	48	19.62	19.62	Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a repressor	K
OG0001092	660	0.04	77	77	0.41	0.41	3.11	3.11	46	45	18.64	18.64	"DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate"	L
OG0001367	657	0	77	77	0.46	0.46	3.11	3.11	43	43	19.96	19.96	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance	J
OG0001368	966	0	77	77	0.47	0.47	3.11	3.11	42	42	19.92	19.92	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)	F
OG0002736	162	0.09	11	11	0.53	0.54	3.11	3.11	32	31	16.82	16.82	#N/A	#N/A
OG0002947	2002.5	0.12	8	8	0.7	0.79	3.11	3.06	27	24	18.88	18.88	"transferase activity, transferring glycosyl groups"	M
OG0003045	516	0	7	7	0.66	0.66	3.11	3.11	26	26	17.14	17.14	Phosphatidylethanolamine-binding protein	S
OG0003230	1563	0	6	6	0.89	0.89	3.11	3.11	24	24	21.33	21.33	-	-
OG0003284	180	0.17	6	6	0.81	0.81	3.11	3.12	24	24	19.5	19.5	#N/A	#N/A
OG0003943	1044	0	3	3	0.69	0.69	3.11	3.11	25	25	17.33	17.33	ATP diphosphatase activity	S
OG0003999	483	0	3	3	0.83	0.83	3.11	3.11	24	24	20	20	-	-
OG0004095	684	0.67	3	3	0.59	0.81	3.11	2.89	25	18	14.67	14.67	Belongs to the SAICAR synthetase family	F
OG0004520	442.5	0	2	2	0.91	0.91	3.11	3.11	23	23	21	21	#N/A	#N/A
OG0004521	541.5	0	2	2	0.91	0.91	3.11	3.11	23	23	21	21	Phage tail tube protein	S
OG0004522	387	0	2	2	0.91	0.91	3.11	3.11	23	23	21	21	#N/A	#N/A
