OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts
OG0001974	1737.0	0.08	39	39	0.06	0.06	5.43	5.42	301	298	17.77	17.77
OG0001975	1257.0	0.03	33	39	0.05	0.05	5.64	5.63	358	353	17.67	17.67
OG0001976	780.0	0.08	29	39	0.04	0.04	5.96	5.9	486	455	18.72	18.72
OG0001977	276.0	0.03	36	39	0.09	0.1	4.67	4.63	199	189	18.15	18.15
OG0001978	807.0	0.03	39	39	0.1	0.1	4.58	4.59	209	209	20.38	20.38
OG0001979	1758.0	0.18	26	39	0.06	0.07	5.28	5.17	324	276	19.41	19.41
OG0001980	399.0	0.08	28	39	0.08	0.08	4.65	4.58	225	206	17.13	17.13
OG0001981	165.0	0.0	39	39	0.12	0.12	4.56	4.56	153	153	17.72	17.72
OG0001982	465.0	0.03	39	39	0.27	0.27	3.62	3.62	63	63	16.85	16.85
OG0001983	1035.0	0.0	32	38	0.11	0.11	4.44	4.44	163	163	18.63	18.63
OG0001984	1008.0	0.05	38	38	0.11	0.11	4.46	4.43	148	147	16.89	16.89
OG0001985	1237.5	0.05	27	38	0.11	0.12	4.84	4.81	269	256	30.92	30.92
OG0001986	312.0	0.18	23	38	0.03	0.03	6.19	6.09	565	507	17.71	17.71
OG0001987	855.0	0.08	36	38	0.15	0.16	4.27	4.23	128	122	18.92	18.92
OG0001988	415.5	0.03	36	38	0.09	0.09	4.73	4.75	216	216	19.32	19.32
OG0001989	943.5	0.11	31	38	0.07	0.07	5.08	5.08	265	257	17.29	17.29
OG0001990	954.0	0.0	26	38	0.08	0.08	4.92	4.92	236	236	18.32	18.32
OG0001991	397.5	0.03	24	38	0.09	0.09	5.54	5.54	419	418	37.71	37.71
OG0001992	1188.0	0.0	28	38	0.16	0.16	4.48	4.48	195	195	30.58	30.58
OG0001993	405.0	0.03	38	38	0.27	0.27	3.92	3.91	77	77	20.76	20.76
OG0001994	882.0	0.73	16	37	0.06	0.09	4.71	4.54	159	111	10.16	10.16
OG0001995	309.0	0.08	29	38	0.06	0.06	5.19	5.2	294	289	16.76	16.76
OG0001996	822.0	0.0	32	37	0.12	0.12	4.43	4.43	160	160	18.54	18.54
OG0001997	351.0	0.14	37	37	0.11	0.11	4.71	4.74	170	168	18.05	18.05
OG0001998	438.0	0.05	27	37	0.06	0.06	4.97	4.96	274	268	17.08	17.08
OG0001999	1059.0	0.08	35	37	0.26	0.26	3.53	3.54	76	75	19.41	19.41
OG0002000	1158.0	0.05	32	37	0.06	0.06	5.49	5.44	333	317	18.97	18.97
OG0002001	360.0	0.46	37	37	0.11	0.14	4.4	4.45	164	129	17.73	17.73
OG0002002	396.0	0.46	37	37	0.11	0.14	4.43	4.47	169	132	17.89	17.89
OG0002003	330.0	0.03	23	37	0.11	0.11	5.24	5.24	359	352	39.68	39.68
OG0002004	222.0	0.03	37	37	0.16	0.16	4.15	4.12	113	111	17.62	17.62
OG0002005	1227.0	0.03	36	37	0.15	0.15	4.24	4.23	127	127	18.81	18.81
OG0002006	603.0	0.05	31	37	0.08	0.09	5.04	5.01	236	226	19.41	19.41
OG0002007	738.0	0.0	28	37	0.06	0.06	5.44	5.44	303	303	19	19
OG0002008	135.0	0.08	28	37	0.06	0.06	5.14	5.12	324	314	19.05	19.05
OG0002009	762.0	0.05	36	37	0.16	0.16	4.26	4.19	105	102	16.41	16.41
OG0002010	822.0	0.11	32	37	0.14	0.14	4.2	4.19	117	112	16.22	16.22
OG0002011	885.0	0.0	33	37	0.1	0.1	4.78	4.78	205	205	20.05	20.05
OG0002012	1026.0	0.05	35	37	0.12	0.13	4.53	4.45	187	176	22.05	22.05
OG0002013	1161.0	0.0	28	37	0.16	0.16	4.56	4.56	209	209	33.7	33.7
OG0002014	594.0	0.03	35	37	0.15	0.16	4.29	4.25	140	131	21.3	21.3
OG0002015	171.0	0.05	20	37	0.14	0.16	4.42	4.35	204	189	29.3	29.3
OG0002016	303.0	0.14	29	37	0.09	0.09	4.95	5.01	261	260	22.89	22.89
OG0002017	189.0	0.03	37	37	0.19	0.19	3.68	3.68	107	107	20.3	20.3
OG0002018	1155.0	0.11	28	36	0.05	0.05	5.79	5.78	411	407	21.03	21.03
OG0002019	463.5	0.08	34	36	0.06	0.07	5.31	5.26	285	272	18.22	18.22
OG0002020	174.0	0.06	35	36	0.08	0.08	5.19	5.19	239	239	18.14	18.14
OG0002021	246.0	0.11	31	36	0.06	0.06	5.69	5.62	402	368	22.83	22.83
OG0002022	1197.0	0.11	32	36	0.11	0.12	4.49	4.48	156	149	17.33	17.33
OG0002023	357.0	0.06	31	36	0.11	0.11	5.14	5.14	356	354	39	39
OG0002024	219.0	0.06	31	36	0.11	0.11	5.11	5.12	340	338	38.81	38.81
OG0002025	303.0	0.0	29	36	0.1	0.1	5.36	5.36	368	368	38.39	38.39
OG0002026	270.0	0.03	29	36	0.16	0.16	4.64	4.64	172	171	26.94	26.94
OG0002027	360.0	0.03	35	36	0.1	0.11	4.61	4.54	179	165	17.58	17.58
OG0002028	1719.0	0.03	36	36	0.15	0.16	4.27	4.25	125	123	19.31	19.31
OG0002029	445.5	0.11	30	36	0.06	0.06	5.74	5.7	380	358	21.61	21.61
OG0002030	1032.0	0.03	34	36	0.17	0.19	4.25	4.18	107	93	17.69	17.69
OG0002031	420.0	0.0	36	36	0.51	0.51	3.22	3.22	38	38	19.19	19.19
OG0002032	1000.5	0.08	30	36	0.19	0.19	3.68	3.7	101	100	19.47	19.47
OG0002033	189.0	0.03	28	36	0.13	0.13	4.97	4.96	284	282	37.67	37.67
OG0002034	1827.0	0.08	32	36	0.37	0.38	3.59	3.57	49	47	17.97	17.97
OG0002035	465.0	0.08	33	36	0.16	0.2	4.03	3.88	105	85	16.61	16.61
OG0002036	381.0	0.17	26	36	0.06	0.07	5.21	5.13	310	277	18.81	18.81
OG0002037	970.5	0.06	34	36	0.16	0.16	4.23	4.2	127	126	20.08	20.08
OG0002038	300.0	0.06	29	36	0.07	0.08	5.21	5.16	258	241	19	19
OG0002039	408.0	0.09	33	35	0.08	0.08	4.79	4.81	242	237	18.51	18.51
OG0002040	459.0	0.06	35	35	0.21	0.21	3.8	3.8	103	101	21.34	21.34
OG0002041	702.0	0.03	35	35	0.16	0.16	4.18	4.15	115	113	18.29	18.29
OG0002042	903.0	0.06	13	35	0.17	0.17	4.31	4.28	99	96	16.49	16.49
OG0002043	336.0	0.11	33	35	0.06	0.06	5.49	5.4	337	311	18.54	18.54
OG0002044	1809.0	0.11	31	35	0.05	0.05	5.65	5.61	378	360	18.14	18.14
OG0002045	426.0	0.03	35	35	0.12	0.12	4.69	4.67	152	152	18.09	18.09
OG0002046	1236.0	0.09	34	35	0.08	0.09	4.94	4.85	207	189	16.71	16.71
OG0002047	633.0	0.03	29	35	0.06	0.06	4.99	4.98	217	216	12.83	12.83
OG0002048	1356.0	0.03	30	35	0.12	0.13	4.67	4.64	166	159	19.89	19.89
OG0002049	1584.0	0.0	20	35	0.15	0.15	4.15	4.15	137	137	20.43	20.43
OG0002050	822.0	0.09	33	35	0.09	0.1	4.74	4.7	212	196	19.66	19.66
OG0002051	582.0	0.03	30	35	0.08	0.08	4.55	4.54	191	190	15.26	15.26
OG0002052	1383.0	0.09	28	34	0.09	0.09	4.73	4.68	183	180	16.26	16.26
OG0002053	645.0	0.03	27	34	0.12	0.12	5.19	5.19	346	343	39.97	39.97
OG0002054	1194.0	0.06	32	34	0.08	0.08	5.09	5.12	247	247	20.03	20.03
OG0002055	241.5	0.0	28	34	0.06	0.06	5.58	5.58	371	371	21.24	21.24
OG0002056	390.0	0.15	33	34	0.18	0.2	4.04	3.98	133	117	23.47	23.47
OG0002057	468.0	0.09	26	34	0.07	0.08	5.13	5.13	298	294	22.29	22.29
OG0002058	924.0	0.03	26	34	0.11	0.11	4.5	4.5	153	153	17.15	17.15
OG0002059	693.0	0.12	30	34	0.09	0.1	4.46	4.47	169	164	15.62	15.62
OG0002060	862.5	0.09	31	34	0.1	0.1	4.75	4.7	191	181	18.56	18.56
OG0002061	885.0	0.03	29	34	0.06	0.06	5.14	5.16	320	320	20.53	20.53
OG0002062	291.0	0.06	30	34	0.09	0.09	4.67	4.67	222	218	19.29	19.29
OG0002063	207.0	0.03	29	34	0.07	0.08	5.51	5.49	329	325	24.53	24.53
OG0002064	1239.0	0.03	34	34	0.16	0.19	4.21	4.14	104	89	17.03	17.03
OG0002065	969.0	0.0	25	34	0.12	0.12	4.67	4.67	168	168	19.85	19.85
OG0002066	924.0	0.09	22	34	0.06	0.06	5.51	5.51	310	307	17.53	17.53
OG0002067	840.0	0.79	15	33	0.06	0.09	4.68	4.61	159	109	10.15	10.15
OG0002068	564.0	0.0	23	34	0.1	0.1	4.85	4.85	195	195	19.97	19.97
OG0002069	888.0	0.12	34	34	0.14	0.15	4.22	4.2	144	135	20.06	20.06
OG0002070	1150.5	0.03	28	34	0.08	0.08	4.91	4.91	230	230	18.35	18.35
OG0002071	720.0	0.03	30	34	0.08	0.08	4.56	4.55	192	191	15.79	15.79
OG0002072	288.0	0.03	33	33	0.1	0.1	4.57	4.58	176	176	17.64	17.64
OG0002073	495.0	0.06	32	33	0.07	0.07	5.2	5.22	238	238	16.64	16.64
OG0002074	1356.0	0.09	29	33	0.07	0.08	5.11	5.03	257	238	17.91	17.91
OG0002075	300.0	0.0	32	33	0.13	0.13	4.54	4.54	154	154	20.03	20.03
OG0002076	1329.0	0.06	33	33	0.36	0.38	3.51	3.51	55	53	19.94	19.94
OG0002077	291.0	0.03	26	33	0.12	0.12	4.65	4.66	213	213	25.97	25.97
OG0002078	297.0	0.09	22	33	0.07	0.07	4.96	4.98	246	241	17.27	17.27
OG0002079	666.0	0.18	21	33	0.05	0.06	5.78	5.72	411	382	22.3	22.3
OG0002080	822.0	0.0	31	33	0.09	0.09	4.47	4.47	191	191	17.94	17.94
OG0002081	1314.0	0.06	17	33	0.07	0.07	5.09	4.99	240	219	15.97	15.97
OG0002082	693.0	0.0	33	33	0.16	0.16	4.14	4.14	128	128	20.12	20.12
OG0002083	705.0	0.09	33	33	0.1	0.11	4.6	4.57	188	173	19.7	19.7
OG0002084	288.0	0.0	28	33	0.16	0.16	4.34	4.34	175	175	27.18	27.18
OG0002085	381.0	0.82	20	33	0.06	0.12	4.79	4.48	206	100	12.39	12.39
OG0002086	1263.0	0.03	32	33	0.15	0.15	4.34	4.34	130	130	20	20
OG0002087	540.0	0.06	33	33	0.2	0.2	4.48	4.48	122	121	24.21	24.21
OG0002088	483.0	0.12	27	33	0.06	0.07	5.27	5.28	288	279	18.61	18.61
OG0002089	165.0	0.09	32	33	0.09	0.1	5.04	4.95	242	221	22.97	22.97
OG0002090	612.0	0.0	23	33	0.09	0.09	4.93	4.93	208	208	19	19
OG0002091	315.0	0.09	29	32	0.08	0.09	4.94	4.88	209	190	17.38	17.38
OG0002092	1110.0	0.03	32	32	0.08	0.08	5.08	5.09	240	240	19.38	19.38
OG0002093	1341.0	0.03	32	32	0.08	0.08	5.08	5.1	241	241	19.59	19.59
OG0002094	1591.5	0.06	32	32	0.11	0.11	4.53	4.51	150	149	16.34	16.34
OG0002095	1197.0	0.0	30	32	0.17	0.17	4.07	4.07	103	103	17.84	17.84
OG0002096	876.0	0.06	31	32	0.18	0.18	4.15	4.12	104	101	18.31	18.31
OG0002097	267.0	0.06	32	32	0.09	0.09	4.94	4.97	208	208	18.62	18.62
OG0002098	1296.0	0.0	32	32	0.09	0.09	4.51	4.51	197	197	18.34	18.34
OG0002099	819.0	0.0	32	32	0.09	0.09	4.5	4.5	198	198	17.94	17.94
OG0002100	543.0	0.38	32	32	0.12	0.14	4.36	4.41	149	126	18.09	18.09
OG0002101	846.0	0.09	27	32	0.06	0.06	5.46	5.46	291	290	16.94	16.94
OG0002102	225.0	0.0	32	32	0.14	0.14	4.51	4.51	172	172	23.62	23.62
OG0002103	1162.5	0.0	24	32	0.13	0.13	4.51	4.51	146	146	18.59	18.59
OG0002104	513.0	0.12	32	32	0.1	0.11	4.66	4.61	189	174	19.19	19.19
OG0002105	963.0	0.81	20	31	0.06	0.13	4.85	4.47	212	100	12.87	12.87
OG0002106	1179.0	0.03	32	32	0.15	0.15	4.32	4.32	128	128	19.34	19.34
OG0002107	759.0	0.03	32	32	0.15	0.15	4.29	4.3	126	126	19.12	19.12
OG0002108	825.0	0.03	32	32	0.15	0.15	4.3	4.3	128	128	19.31	19.31
OG0002109	366.0	0.03	21	32	0.1	0.1	4.83	4.8	206	198	19.97	19.97
OG0002110	885.0	0.06	24	31	0.07	0.07	5.47	5.47	284	282	19.61	19.61
OG0002111	390.0	0.0	28	31	0.08	0.08	5.18	5.18	225	225	18.39	18.39
OG0002112	447.0	0.13	30	31	0.09	0.09	4.94	5.0	220	217	19.84	19.84
OG0002113	207.0	0.13	26	31	0.05	0.05	5.68	5.62	338	317	16.68	16.68
OG0002114	339.0	0.0	28	31	0.07	0.07	5.42	5.42	294	294	21.55	21.55
OG0002115	582.0	0.03	29	31	0.12	0.13	4.56	4.49	224	207	26.45	26.45
OG0002116	1209.0	0.06	27	31	0.18	0.18	3.94	3.98	103	103	18.13	18.13
OG0002117	954.0	0.13	30	31	0.12	0.13	4.55	4.47	167	150	19.39	19.39
OG0002118	1041.0	0.13	31	31	0.12	0.13	4.53	4.43	163	143	19.13	19.13
OG0002119	333.0	0.0	31	31	0.13	0.13	4.41	4.41	149	149	19.87	19.87
OG0002120	792.0	0.0	31	31	0.13	0.13	4.44	4.44	153	153	20.32	20.32
OG0002121	1023.0	0.0	31	31	0.13	0.13	4.39	4.39	150	150	19.97	19.97
OG0002122	102.0	0.0	31	31	0.2	0.2	3.78	3.78	102	102	20.61	20.61
OG0002123	1497.0	0.03	31	31	0.41	0.41	3.49	3.47	45	45	18.35	18.35
OG0002124	630.0	0.03	31	31	0.52	0.54	3.05	3.04	34	33	17.81	17.81
OG0002125	609.0	0.06	31	31	0.06	0.06	5.54	5.51	321	314	19.71	19.71
OG0002126	678.0	0.03	28	30	0.07	0.07	5.04	5.03	241	239	17.67	17.67
OG0002127	942.0	0.03	28	30	0.15	0.16	4.17	4.18	120	118	18.57	18.57
OG0002128	576.0	0.13	30	30	0.46	0.46	3.41	3.42	51	50	23.23	23.23
OG0002129	474.0	0.17	24	30	0.12	0.12	5.04	5.01	253	240	29.9	29.9
OG0002130	169.5	0.03	25	30	0.16	0.16	4.41	4.42	158	158	25.23	25.23
OG0002131	291.0	0.13	23	30	0.08	0.08	4.64	4.65	207	195	15.93	15.93
OG0002132	642.0	0.1	30	30	0.09	0.09	4.98	4.96	250	240	21.33	21.33
OG0002133	876.0	0.03	24	30	0.07	0.07	5.12	5.11	254	252	18.33	18.33
OG0002134	1080.0	0.0	22	30	0.14	0.14	4.33	4.33	125	125	17.97	17.97
OG0002135	408.0	0.0	28	30	0.07	0.07	5.44	5.44	308	308	21.4	21.4
OG0002136	741.0	0.13	30	30	0.11	0.13	4.56	4.5	169	154	19.3	19.3
OG0002137	762.0	0.13	30	30	0.12	0.13	4.53	4.44	161	144	19.07	19.07
OG0002138	1260.0	0.13	26	30	0.08	0.08	4.81	4.81	194	193	15.87	15.87
OG0002139	1665.0	0.03	29	30	0.09	0.1	4.65	4.62	192	186	17.87	17.87
OG0002140	456.0	0.8	19	30	0.07	0.15	4.74	4.39	194	91	13.5	13.5
OG0002141	546.0	0.03	28	30	0.17	0.17	4.08	4.08	100	100	17	17
OG0002142	696.0	0.07	24	30	0.09	0.09	4.93	4.94	196	192	18.2	18.2
OG0002143	1149.0	0.07	27	30	0.09	0.09	4.99	4.95	205	200	18.97	18.97
OG0002144	340.5	0.13	19	30	0.1	0.1	4.78	4.84	222	221	22.73	22.73
OG0002145	843.0	0.0	28	30	0.08	0.08	5.21	5.21	249	249	20.77	20.77
OG0002146	915.0	0.0	28	29	0.15	0.15	4.22	4.22	124	124	18.72	18.72
OG0002147	1275.0	0.07	25	29	0.16	0.17	4.83	4.84	217	216	35.72	35.72
OG0002148	261.0	0.03	16	29	0.11	0.11	5.27	5.28	337	336	36.66	36.66
OG0002149	201.0	0.07	29	29	0.16	0.16	4.13	4.11	124	123	19.83	19.83
OG0002150	951.0	0.1	26	29	0.09	0.11	4.87	4.68	211	174	19.9	19.9
OG0002151	777.0	0.07	23	29	0.06	0.07	5.49	5.45	319	308	20.55	20.55
OG0002152	354.0	0.14	29	29	0.15	0.15	4.19	4.17	113	110	16.97	16.97
OG0002153	609.0	0.07	27	29	0.1	0.11	4.85	4.75	210	189	20.07	20.07
OG0002154	1491.0	0.04	28	28	0.16	0.17	4.16	4.17	115	113	18.86	18.86
OG0002155	984.0	0.0	23	28	0.06	0.06	5.51	5.51	302	302	18.96	18.96
OG0002156	1864.5	0.0	23	28	0.14	0.14	4.51	4.51	146	146	21.07	21.07
OG0002157	234.0	0.07	25	28	0.07	0.07	5.63	5.56	341	315	23.57	23.57
OG0002158	192.0	0.25	25	28	0.07	0.08	5.48	5.32	305	253	20.64	20.64
OG0002159	96.0	0.04	26	28	0.13	0.13	4.72	4.72	204	203	26.25	26.25
OG0002160	537.0	0.11	19	28	0.13	0.13	5.17	5.16	294	292	36.79	36.79
OG0002161	915.0	0.07	28	28	0.1	0.1	5.03	4.98	211	195	20.18	20.18
OG0002162	219.0	0.04	19	28	0.14	0.14	5.12	5.11	295	291	40.14	40.14
OG0002163	363.0	0.0	24	28	0.22	0.22	3.91	3.91	94	94	21.11	21.11
OG0002164	675.0	0.11	28	28	0.06	0.07	5.33	5.3	279	265	17.29	17.29
OG0002165	894.0	0.11	27	28	0.07	0.07	5.31	5.22	277	255	18.5	18.5
OG0002166	309.0	0.07	28	28	0.11	0.11	4.6	4.58	162	156	17.61	17.61
OG0002167	201.0	0.04	25	28	0.08	0.08	4.91	4.92	255	255	19.93	19.93
OG0002168	582.0	0.0	27	28	0.27	0.27	3.62	3.62	73	73	19.86	19.86
OG0002169	427.5	0.07	27	28	0.08	0.09	5.04	5.04	222	216	18.43	18.43
OG0002170	774.0	0.04	27	28	0.11	0.11	4.45	4.45	158	157	16.89	16.89
OG0002171	1618.5	0.07	20	28	0.14	0.14	4.34	4.35	155	152	21.46	21.46
OG0002172	351.0	0.11	26	28	0.08	0.08	5.14	5.14	227	224	18.36	18.36
OG0002173	999.0	0.11	25	28	0.24	0.24	3.71	3.68	78	77	18.82	18.82
OG0002174	1344.0	0.25	24	28	0.07	0.08	5.34	5.19	272	227	18.21	18.21
OG0002175	508.5	0.0	21	28	0.07	0.07	5.26	5.26	275	275	20.39	20.39
OG0002176	1332.0	0.11	24	27	0.15	0.18	4.27	4.16	116	98	17.89	17.89
OG0002177	261.0	0.04	27	27	0.32	0.32	3.5	3.51	63	63	20.37	20.37
OG0002178	627.0	0.04	18	27	0.07	0.07	5.4	5.39	282	281	21.07	21.07
OG0002179	513.0	0.07	20	27	0.07	0.07	5.54	5.5	307	295	20.63	20.63
OG0002180	219.0	0.07	27	27	0.1	0.1	4.88	4.9	185	184	19.3	19.3
OG0002181	1281.0	0.04	26	27	0.07	0.08	5.16	5.14	231	225	16.93	16.93
OG0002182	216.0	0.0	27	27	0.18	0.18	4.16	4.16	129	129	22.81	22.81
OG0002183	435.0	0.19	24	27	0.11	0.12	4.97	4.9	173	160	18.85	18.85
OG0002184	360.0	0.07	27	27	0.08	0.08	5.15	5.15	219	217	17	17
OG0002185	501.0	0.07	23	27	0.07	0.08	5.65	5.58	354	330	25.37	25.37
OG0002186	1341.0	0.07	26	27	0.15	0.15	4.52	4.47	137	130	20	20
OG0002187	1689.0	0.04	27	27	0.1	0.11	4.7	4.64	192	178	19.48	19.48
OG0002188	1491.0	0.07	26	27	0.12	0.12	4.33	4.33	141	136	16.89	16.89
OG0002189	1362.0	0.07	25	27	0.13	0.14	4.2	4.18	129	123	16.63	16.63
OG0002190	1632.0	0.0	23	27	0.62	0.62	3.19	3.19	32	32	19.85	19.85
OG0002191	963.0	0.07	24	27	0.2	0.2	4.3	4.31	138	136	27.37	27.37
OG0002192	685.5	0.0	25	26	0.09	0.09	4.82	4.82	196	196	17.15	17.15
OG0002193	1110.0	0.04	24	26	0.12	0.13	4.52	4.42	151	135	17.62	17.62
OG0002194	1491.0	0.12	20	26	0.17	0.17	4.11	4.09	121	116	20.19	20.19
OG0002195	765.0	0.08	26	26	0.29	0.3	3.43	3.44	65	64	19.08	19.08
OG0002196	696.0	0.04	26	26	0.11	0.11	4.61	4.63	149	149	16.65	16.65
OG0002197	936.0	0.15	23	26	0.08	0.08	5.1	5.13	218	216	17.58	17.58
OG0002198	652.5	0.04	26	26	0.1	0.11	4.95	4.89	205	191	20.27	20.27
OG0002199	945.0	0.08	26	26	0.14	0.14	4.25	4.26	122	121	17.38	17.38
OG0002200	487.5	0.04	21	26	0.16	0.16	4.52	4.53	147	147	22.88	22.88
OG0002201	222.0	0.08	25	26	0.08	0.08	5.42	5.37	279	265	21.12	21.12
OG0002202	330.0	0.04	26	26	0.51	0.51	3.18	3.18	37	37	19.04	19.04
OG0002203	345.0	0.04	26	26	0.39	0.39	3.62	3.61	57	57	21.96	21.96
OG0002204	805.5	0.12	23	26	0.11	0.12	4.48	4.47	137	131	15.31	15.31
OG0002205	279.0	0.08	25	26	0.09	0.09	4.67	4.67	169	168	15.27	15.27
OG0002206	168.0	0.04	20	26	0.14	0.14	5.1	5.11	297	297	40.35	40.35
OG0002207	363.0	0.0	25	26	0.14	0.14	4.84	4.84	238	238	33.77	33.77
OG0002208	894.0	0.0	24	26	0.21	0.21	3.94	3.94	96	96	19.77	19.77
OG0002209	477.0	0.12	24	26	0.14	0.14	4.27	4.28	123	122	17.46	17.46
OG0002210	273.0	0.04	21	26	0.11	0.11	5.19	5.2	276	276	30.92	30.92
OG0002211	1497.0	0.04	20	25	0.08	0.08	5.03	5.03	223	222	17.92	17.92
OG0002212	465.0	0.0	25	25	0.12	0.12	4.66	4.66	154	154	18.72	18.72
OG0002213	498.0	0.04	25	25	0.29	0.29	3.66	3.67	70	70	20.56	20.56
OG0002214	834.0	0.24	17	25	0.09	0.1	5.34	5.28	308	279	28.88	28.88
OG0002215	312.0	0.12	25	25	0.11	0.11	4.56	4.57	170	164	18.48	18.48
OG0002216	1503.0	0.04	15	25	0.11	0.12	4.79	4.73	174	164	19.48	19.48
OG0002217	381.0	0.04	25	25	0.1	0.11	4.93	4.86	199	184	20.32	20.32
OG0002218	264.0	0.04	25	25	0.29	0.29	3.93	3.94	100	100	29.4	29.4
OG0002219	1701.0	0.0	25	25	0.18	0.18	3.98	3.98	92	92	16.8	16.8
OG0002220	1272.0	0.0	21	25	0.1	0.1	4.64	4.64	182	182	18.92	18.92
OG0002221	810.0	0.04	17	25	0.1	0.11	4.94	4.88	206	193	20.8	20.8
OG0002222	735.0	0.04	24	25	0.46	0.46	3.47	3.47	44	44	20.2	20.2
OG0002223	210.0	0.08	21	25	0.11	0.11	5.28	5.26	315	302	34.68	34.68
OG0002224	1101.0	0.12	20	25	0.13	0.13	4.36	4.37	154	150	20.04	20.04
OG0002225	633.0	0.08	25	25	0.26	0.26	3.62	3.6	71	71	18.44	18.44
OG0002226	648.0	0.0	25	25	0.14	0.14	4.23	4.23	132	132	19.12	19.12
OG0002227	840.0	0.0	25	25	0.13	0.13	4.4	4.4	145	145	19.32	19.32
OG0002228	189.0	0.04	25	25	0.24	0.24	3.7	3.69	88	88	21.08	21.08
OG0002229	855.0	0.6	18	25	0.07	0.12	5.12	4.83	232	142	16.56	16.56
OG0002230	198.0	0.16	21	25	0.07	0.07	5.57	5.54	309	295	20.84	20.84
OG0002231	114.0	0.24	14	25	0.07	0.08	5.3	5.23	230	216	16.92	16.92
OG0002232	1965.0	0.08	20	24	0.1	0.11	4.96	4.89	203	184	19.54	19.54
OG0002233	1731.0	0.17	21	24	0.08	0.09	5.03	4.92	207	181	15.54	15.54
OG0002234	1215.0	0.0	24	24	0.13	0.13	4.45	4.45	138	138	17.29	17.29
OG0002235	912.0	0.0	24	24	0.13	0.13	4.41	4.41	134	134	17.21	17.21
OG0002236	945.0	0.04	21	24	0.1	0.11	4.88	4.87	172	170	17.92	17.92
OG0002237	981.0	0.12	19	24	0.08	0.09	4.94	4.83	210	186	17.54	17.54
OG0002238	300.0	0.08	16	24	0.09	0.1	4.6	4.55	177	163	15.96	15.96
OG0002239	568.5	0.04	19	24	0.14	0.14	4.72	4.73	204	203	29.17	29.17
OG0002240	150.0	0.17	18	24	0.1	0.11	4.27	4.24	144	131	14.75	14.75
OG0002241	351.0	0.0	17	24	0.09	0.09	5.1	5.1	212	212	18.33	18.33
OG0002242	1167.0	0.04	19	24	0.11	0.11	4.89	4.91	173	173	19.42	19.42
OG0002243	666.0	0.04	13	24	0.15	0.16	4.39	4.33	123	113	18.29	18.29
OG0002244	117.0	0.08	22	24	0.08	0.09	5.54	5.47	318	294	25.54	25.54
OG0002245	1548.0	0.0	21	24	0.12	0.12	4.53	4.53	154	154	18.21	18.21
OG0002246	967.5	0.0	21	24	0.1	0.1	4.7	4.7	182	182	18.96	18.96
OG0002247	840.0	0.0	22	24	0.09	0.09	4.74	4.74	194	194	18.29	18.29
OG0002248	618.0	0.0	20	24	0.08	0.08	4.94	4.94	223	223	18.33	18.33
OG0002249	789.0	0.04	24	24	0.26	0.26	3.42	3.42	60	59	15.38	15.38
OG0002250	1761.0	0.08	24	24	0.22	0.24	3.69	3.65	78	71	17.29	17.29
OG0002251	1266.0	0.08	24	24	0.2	0.22	3.73	3.7	83	76	17	17
OG0002252	777.0	0.08	24	24	0.2	0.22	3.72	3.68	82	74	16.54	16.54
OG0002253	201.0	0.17	24	24	0.08	0.08	5.31	5.22	271	251	20.96	20.96
OG0002254	142.5	0.42	8	24	0.13	0.18	4.47	4.24	110	80	14.21	14.21
OG0002255	582.0	0.25	23	24	0.07	0.08	4.93	4.85	217	187	15.79	15.79
OG0002256	261.0	0.12	21	24	0.08	0.09	5.41	5.35	274	257	22.29	22.29
OG0002257	315.0	0.04	21	24	0.11	0.11	4.68	4.68	161	160	18.21	18.21
OG0002258	255.0	0.0	17	23	0.12	0.12	5.26	5.26	307	307	37.65	37.65
OG0002259	312.0	0.09	17	23	0.13	0.13	5.15	5.14	276	269	36.3	36.3
OG0002260	495.0	0.09	19	23	0.07	0.08	5.53	5.44	296	271	21.13	21.13
OG0002261	234.0	0.17	18	23	0.12	0.13	5.17	5.12	271	251	32.43	32.43
OG0002262	495.0	0.0	21	23	0.12	0.12	5.28	5.28	296	296	36.3	36.3
OG0002263	1302.0	0.04	23	23	0.35	0.36	3.55	3.55	58	56	20.39	20.39
OG0002264	363.0	0.09	20	23	0.06	0.06	5.66	5.62	319	304	19.13	19.13
OG0002265	393.0	0.09	23	23	0.11	0.13	4.93	4.77	175	148	19	19
OG0002266	453.0	0.13	23	23	0.11	0.12	4.48	4.47	130	124	14.91	14.91
OG0002267	369.0	0.04	22	23	0.15	0.15	4.5	4.49	146	146	21.83	21.83
OG0002268	1776.0	0.0	22	23	0.1	0.1	4.86	4.86	186	186	18.04	18.04
OG0002269	846.0	0.22	20	23	0.06	0.07	5.57	5.54	291	281	18.48	18.48
OG0002270	258.0	0.0	23	23	0.32	0.32	3.9	3.9	90	90	28.57	28.57
OG0002271	552.0	0.09	19	23	0.11	0.12	5.44	5.34	339	308	37.17	37.17
OG0002272	249.0	0.0	16	23	0.14	0.14	4.52	4.52	153	153	22.04	22.04
OG0002273	636.0	0.04	11	23	0.09	0.09	5.32	5.28	266	253	22.91	22.91
